0,49
50000,13
100000,12
150000,12
200000,12
250000,12
300000,12
350000,11
400000,11
450000,11
500000,11
550000,11
600000,11
650000,11
700000,11
750000,11
800000,10
850000,10
900000,10
950000,10
1000000,10
1050000,10
1100000,10
1150000,10
1200000,10
1250000,10
1300000,10
1350000,10
1400000,10
1450000,10
1500000,10
1550000,10
1600000,10
1650000,9
1700000,9
1750000,9
1800000,9
1850000,9
1900000,9
1950000,9
2000000,9
2050000,9
2100000,9
2150000,9
2200000,9
2250000,9
2300000,9
2350000,9
2400000,9
2450000,9
2500000,9
2550000,9
2600000,9
2650000,9
2700000,9
2750000,9
2800000,9
2850000,9
2900000,9
2950000,9
